BioSample	biosample_uid
SAMEA110381793	31958336
SAMEA112794809	40718716
SAMEA112794838	40718745
SAMEA112794849	40718756
SAMEA112794872	40718779
SAMEA112794915	40718822
SAMEA14489996	40313867
SAMEA14490009	40322614
SAMEA14490013	40320721
SAMEA14490016	40319609
SAMEA14490017	40341994
SAMN14433613	14433613
SAMN14433616	14433616
SAMN14433640	14433640
SAMN14433646	14433646
SAMN14433648	14433648
SAMN14433652	14433652
SAMN17573486	17573486
SAMN19163032	19163032
SAMN19163033	19163033
SAMN19163125	19163125
SAMN19163129	19163129
SAMN19163131	19163131
SAMN22137856	22137856
SAMN22137858	22137858
SAMN22137880	22137880
SAMN22137883	22137883
SAMN22511218	22511218
SAMN22511233	22511233
SAMN22511265	22511265
SAMN22511266	22511266
SAMN22511276	22511276
SAMN22511286	22511286
SAMN22511291	22511291
SAMN22511312	22511312
SAMN22511313	22511313
SAMN23012476	23012476
SAMN23012480	23012480
SAMN23012492	23012492
SAMN23012495	23012495
SAMN23012502	23012502
SAMN33427328	33427328
SAMN38043939	38043939
SAMN38043996	38043996
SAMN38043997	38043997
SAMN38043999	38043999
SAMN38044001	38044001
SAMN38693978	38693978
SAMN46722753	46722753
SAMN46722754	46722754
SAMN46722796	46722796
