"metric","value"
"VCF","Quercus_globosa_plastome.allsite.allsite.exclude8_2397024510.filtered.variant.vcf.gz"
"Generated","2026-07-14 14:41:08 CDT"
"SNPfiltR installed","FALSE"
"Samples","209"
"Variant records","442"
"SNP records","304"
"Indel records","138"
"PASS records","442"
"Mean site missing rate","0.02372"
"Max site missing rate","0.09569"
"Mean sample missing rate","0.02372"
"Max sample missing rate","0.1697"
"Mean site heterozygote rate","0.1394"
"Max site heterozygote rate","0.9856"
"Mean DP across called genotypes","693.6"
"Median DP across called genotypes","606"
"Mean GQ across called genotypes","96.42"
"Ts/Tv for SNP records","1.286"
